roomID;acc_rating;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price;star_rating;amen1;amen2;amen3;amen4;amen5;amen6;amen7;amen8;amen9;amen10;amen11;amen12;amen13;amen14;amen15;amen16;amen17;amen18;amen19;amen20;amen21;amen22;amen23;amen24;amen25;amen26;amen27;amen28;amen29;amen30;amen31;amen32;amen33;amen34;amen35;amen36;amen37;amen38;amen39;amen40;amen41;amen42;amen43;amen44;amen45;amen46;amen47;amen48;amen49;amen50
14990478;10;Real Bed;4;10;10;10;98;14990478;True;True;10;37.73095438733193;-122.44468757633973;p3;2;14;Entire home/apt;1186;10;30;95.0;5;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;True;False;True;True;True;True;True;True;True;True;True;False;True;True
15843462;10;Real Bed;4;9;10;9;93;15843462;True;False;10;37.78260811882245;-122.39857576898734;p3;2;10;Entire home/apt;168;10;6;150.0;4.5;True;False;True;True;True;False;True;True;True;False;False;False;False;True;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;True;False;True;True;True;False;False;False;True;True;True;True;True;True;False;False;True;False;False;False
13884730;10;Real Bed;5;10;10;10;100;13884730;True;False;10;37.79152502340709;-122.40660661410259;p3;2;10;Entire home/apt;233;10;3;90.0;5;True;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;True;False;True;True;True;True;False;False;False;False
15675790;10;Real Bed;3;10;10;10;96;15675790;True;False;10;37.787260446686616;-122.4077762049608;p3;2;4;Entire home/apt;244;10;11;90.0;5;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True
3759246;9;Real Bed;4;10;9;10;92;3759246;True;False;9;37.75574653336642;-122.47916842783397;p3;2;8;Entire home/apt;700;9;119;99.0;4.5;False;False;True;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;False;True;True;True;False;False;False;False;False;False;False;True;True
13469139;9;Real Bed;3;9;9;9;87;13469139;True;False;8;37.79899209296748;-122.4049618690178;p3;2;9;Entire home/apt;83;9;11;125.0;4.5;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;True;True;False;False;False;False;True;False;False;False;True;True;False;False;False;True;False
9315872;9;Real Bed;5;10;10;10;93;9315872;True;False;10;37.77430521618861;-122.46600180720752;p3;2;16;Entire home/apt;915;9;94;119.0;4.5;True;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;False;False;False;True;True;True;False;True;True;True;True;True;False;False;False
15659311;9;Real Bed;5;9;8;9;81;15659311;True;False;9;37.795332471651186;-122.40763309981558;p3;2;16;Entire home/apt;248;9;17;138.0;4;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;True;True
10930490;10;Real Bed;3;10;10;10;96;10930490;False;True;9;37.720011611606665;-122.39249009291763;p3;2;14;Entire home/apt;1632;10;77;85.0;5;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;True;True;True;True;False;True;True;True;True;True;False;False;True
14013818;10;Real Bed;5;10;10;10;94;14013818;False;False;10;37.75827964765693;-122.48713024840372;p3;2;25;Entire home/apt;532;9;50;89.0;4.5;True;False;True;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False
