roomID;acc_rating;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price;star_rating;amen1;amen2;amen3;amen4;amen5;amen6;amen7;amen8;amen9;amen10;amen11;amen12;amen13;amen14;amen15;amen16;amen17;amen18;amen19;amen20;amen21;amen22;amen23;amen24;amen25;amen26;amen27;amen28;amen29;amen30;amen31;amen32;amen33;amen34;amen35;amen36;amen37;amen38;amen39;amen40;amen41;amen42;amen43;amen44;amen45;amen46;amen47;amen48;amen49;amen50
2704229;10;Real Bed;4;10;10;10;98;2704229;False;True;9;37.767712194319095;-122.41836915352283;p3;2;5;Private room;165;10;26;66.0;5;True;True;True;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;True;True;True;True;True;True;True;False;True;True;True;True;False;False;False
13138137;9;Real Bed;4;9;9;9;87;13138137;False;False;8;37.735955911590516;-122.38883819247256;p3;1;13;Private room;122;9;31;61.0;4.5;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;True;True
15772118;10;Real Bed;3;10;10;9;100;15772118;False;False;10;37.755155194284434;-122.42121440845453;p3;2;5;Private room;43;10;5;70.0;5;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;True;True;True;False;False;True;True;True;False;False;True;True
9473338;10;Real Bed;3;10;10;10;99;9473338;False;True;10;37.76721709777691;-122.45010839588527;p3;1;10;Private room;290;10;54;60.0;5;True;False;False;True;False;False;False;True;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;True;True;False;True;True;True;False;False;True;False;True;True;False;True;True
1633225;9;Real Bed;5;10;9;9;91;1633225;False;False;9;37.72545412772756;-122.41889091197282;p3;2;36;Private room;241;9;16;59.0;4.5;True;True;True;True;False;False;False;True;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;True;True;False;True;True;True;True;True;False;True;True;True;False;True;True;False;True;True;False;False;False
16322899;9;Real Bed;3;10;7;10;92;16322899;False;False;10;37.805876430250116;-122.40910944593224;p3;2;4;Private room;58;9;6;65.0;4.5;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;False;True;False;False;False;True;True;True;False;False;True;True
16113122;9;Real Bed;3;10;7;10;87;16113122;False;False;10;37.797845369076526;-122.43782285426718;p3;2;6;Private room;149;9;3;70.0;4.5;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;True
15287084;9;Real Bed;3;9;10;10;97;15287084;False;False;10;37.77366897605788;-122.43563870863031;p3;1;11;Private room;110;10;13;60.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True
12405624;10;Real Bed;4;10;10;10;97;12405624;False;True;9;37.78500285536229;-122.41620150428376;p3;1;19;Private room;170;10;55;66.0;5;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;True;True;True;False;True;True;True;False;False;False;True;True
12657607;10;Real Bed;5;10;9;10;94;12657607;False;False;9;37.74316217375228;-122.49879848126386;p3;2;13;Private room;414;9;47;67.0;4.5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;True;False;True;False;True;False;False;True;False;False;False;False;True;True
15957963;9;Real Bed;3;10;9;10;88;15957963;True;False;10;37.78894877309664;-122.40479974432856;p3;2;4;Private room;55;10;5;59.0;4.5;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;True;True;True;False;True;False;True;True;True;True;False;True;True;True;True;False;False;False
8356380;10;Real Bed;4;10;10;10;99;8356380;False;True;9;37.711701892637436;-122.43451453432924;p3;2;16;Private room;1908;10;136;95.0;5;True;False;True;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;False;True;True;True;True;False;True;True;True;True;False;True;False
6080799;10;Real Bed;5;10;9;10;96;6080799;False;True;10;37.74671336114941;-122.50667923943797;p3;2;26;Private room;453;9;15;95.0;5;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;False;False;False;True;True;True;False;True;True;True;True;False;False;True
12026856;10;Real Bed;3;10;10;10;93;12026856;True;False;10;37.74538810648193;-122.43045950466845;p3;2;6;Private room;912;10;85;85.0;4.5;False;False;True;True;False;False;False;True;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False
8088720;10;Real Bed;4;10;10;10;96;8088720;True;True;10;37.768514338689585;-122.43724827192013;p3;2;9;Private room;615;10;67;95.0;5;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;False;False;False;True
16245090;10;Real Bed;4;10;10;10;100;16245090;False;False;10;37.763156496381725;-122.4082978205472;p3;2;9;Private room;34;9;3;100.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;True;False;False;True;True;True;True;False;True;True;True;False;True;True
15903424;10;Real Bed;4;10;10;10;100;15903424;True;False;10;37.744790552344;-122.48813604052751;p3;2;13;Private room;79;10;7;89.0;5;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;True;True;True;False;False;True;True;False;True;False;False;True
16490313;10;Real Bed;3;10;10;9;94;16490313;True;False;10;37.77955082222268;-122.46863896694298;p3;2;4;Private room;63;10;14;85.0;4.5;False;False;True;True;False;False;False;True;False;False;False;True;False;False;False;True;True;False;True;False;False;False;False;False;False;False;True;False;False;True;True;False;True;True;False;False;False;False;False;True;True;False;False;True;True;True;True;False;False;False
1296106;9;Real Bed;5;10;9;9;89;1296106;False;False;10;37.76286351131312;-122.45747822327243;p3;2;7;Private room;943;9;135;91.0;4.5;True;True;True;True;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False
13157125;10;Real Bed;3;10;10;10;100;13157125;False;False;10;37.739822148900885;-122.41774625462361;p3;2;5;Private room;47;10;6;87.0;5;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;False;True;True;False;False;True;False;False;False;False;True;True
2183104;10;Real Bed;3;10;9;10;96;2183104;False;False;10;37.79583814322201;-122.42747286572609;p3;2;19;Private room;55;9;5;95.0;5;True;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;True;True;False;False;False;True;True;True;True;True;True;False;True;True;False;False;False
567239;10;Real Bed;4;10;9;10;95;567239;False;True;10;37.74472431318677;-122.43698791604017;p3;2;11;Private room;2826;9;355;95.0;5;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;True;False;True;True;False;False;True;True;False;False;False;True;True
1301798;9;Real Bed;5;10;9;10;92;1301798;False;False;9;37.76907821184396;-122.42031988076656;p3;2;9;Private room;378;9;56;89.0;4.5;False;False;True;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;True;False;True;False;True;True;True;True;True;False;True;False
14690848;9;Real Bed;4;9;9;9;93;14690848;False;False;9;37.744924359114776;-122.42870522863267;p3;2;11;Private room;12;9;3;86.0;4.5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;True;True;True;True;False;True;True;True;True;True;True;True;False;True;False;True;True
16017966;9;Real Bed;4;10;10;10;99;16017966;False;False;10;37.77634225441457;-122.41407332078475;p3;2;20;Private room;266;10;15;130.0;5;False;False;True;True;True;True;False;True;False;False;False;True;False;True;True;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;True;True;True;True;True;False;False;False;True;True;True;True;True;True;True;True;False;False;True
4104344;10;Real Bed;4;10;10;10;97;4104344;False;True;10;37.76255220968046;-122.44548264100015;p3;2;5;Private room;148;10;21;123.0;5;True;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;True;False;True;False;False;True;True;True;False;True;False;True;True;True;True;False;True;True;True;True;False;True;True
14507492;10;Real Bed;5;10;9;10;97;14507492;False;True;10;37.78158432428077;-122.44033160145862;p3;2;17;Private room;45;10;6;140.0;5;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;False;False;True;True;True;True;True;True;True;True;False;True;True
6968158;10;Real Bed;4;10;10;10;97;6968158;False;True;10;37.778473598925224;-122.43502180222839;p3;2;12;Private room;579;10;52;129.0;5;True;True;True;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;True;False;True;True;True;False;True;True;True;True;False;False;True;True
15311518;10;Real Bed;4;9;10;10;100;15311518;False;False;10;37.77651779696312;-122.41616493137452;p3;2;25;Private room;58;10;7;140.0;5;False;False;True;True;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;True;False;True;False;False;True;True;True;True;False;False;False;True;True;False;False;True;True;True;True;False;True;True
13749078;10;Real Bed;4;10;9;9;94;13749078;False;False;9;37.7159418597772;-122.38912532869472;p3;4;7;Private room;467;9;47;136.0;4.5;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;False;True;True;True;False;False;False;False;False;False;False;False;False
10099733;9;Real Bed;3;9;9;9;95;10099733;False;True;9;37.789091558070766;-122.40993367018474;p3;2;7;Private room;240;10;26;125.0;5;True;False;True;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;True;True;True;True;True;True;True;True;True;False;False;False
9365080;10;Real Bed;4;10;10;10;98;9365080;False;True;10;37.762489301660466;-122.44495456695553;p3;2;10;Private room;470;10;76;130.0;5;True;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False
8167459;10;Real Bed;5;10;10;10;97;8167459;False;True;9;37.77812036763717;-122.50262060064073;p3;3;26;Private room;939;10;86;125.0;5;True;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;True;False;False;True;True;True;False;True;True;True;True;False;False;False;False
6716417;10;Real Bed;4;10;10;10;94;6716417;False;False;9;37.745724710684264;-122.4721516091127;p3;4;14;Private room;379;9;48;125.0;4.5;True;True;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False
51073;10;Real Bed;4;10;10;10;99;51073;True;True;10;37.771163291931664;-122.42199475971246;p3;2;14;Private room;733;10;127;140.0;5;True;False;True;True;False;True;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;True;False;False;True;True;False;False;False;True;True;False;False;True;True
11674758;10;Real Bed;5;10;10;10;93;11674758;False;False;9;37.765635159767044;-122.41746025345114;p3;2;7;Private room;145;9;26;135.0;4.5;True;True;True;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True
12024261;9;Real Bed;5;10;9;10;91;12024261;True;False;10;37.78215606673514;-122.39003473567668;p3;1;11;Private room;293;9;39;125.0;4.5;True;False;True;True;True;False;True;True;False;False;False;True;False;True;True;False;False;False;False;False;True;False;False;False;False;False;False;True;False;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;False
470686;10;Real Bed;3;10;10;10;98;470686;False;True;10;37.767305597237254;-122.42542005611267;p3;2;30;Private room;533;10;174;125.0;5;True;False;True;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;True;False;True;True;False;True;True;True;True;True;True;True;True;True;True;False;True;True;True;True;False;False;False
8682945;10;Pull-out Sofa;3;10;10;10;98;8682945;False;True;10;37.75999396771012;-122.44130285120747;p3;1;13;Private room;49;10;19;140.0;5;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;False;True;True;False;True;False;True;True;True;False;True;True
3486460;10;Real Bed;5;10;10;10;98;3486460;False;True;10;37.757269376952905;-122.39817696265628;p3;2;17;Private room;875;10;157;133.0;5;True;True;True;True;False;False;False;True;True;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;False;False;True;False;False;True;True;False;False;False;True;True;False;False;False;True
10615018;10;Real Bed;4;10;10;10;99;10615018;False;False;10;37.79497418083014;-122.41592076966303;p3;1;8;Private room;122;10;15;129.0;5;True;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;True;True;True;True;False;False;True;True;True;False;True;True;True;True;False;True;True
